Name,Link,Vraagprijs,Vraagprijs per m²,Aangeboden sinds,Status,Aanvaarding,Bijdrage VvE,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Wonen,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Energielabel,Isolatie,Verwarming,Postal Code,Keurmerken,Toegankelijkheid,Soort garage,Postal Code Generic,PostalCode,Latitude,Longitude,Price,Sale type,Price per m2,Surface
Oeverpad 482,https://www.funda.nl/koop/amsterdam/appartement-41401465-oeverpad-482/?navigateSource=resultlist,€ 325.000 k.k.,€ 3.155,2 weken,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,2004,Plat dak bedekt met bitumineuze dakbedekking,103 m²,17 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,1e woonlaag,Elektra,B Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1068PM,-,Toegankelijk voor ouderen,Parkeerkelder en parkeerplaats,1068,1068PM,52.36608,4.80987,325000,K.K.,3155,103
Oeverpad 551,https://www.funda.nl/koop/amsterdam/appartement-87815631-oeverpad-551/?navigateSource=resultlist,€ 375.000 k.k.,€ 3.641,5 weken,Verkocht onder voorbehoud,In overleg,€ 176 per maand,Bovenwoning (appartement),Bestaande bouw,2004,-,103 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,1e woonlaag,Mechanische ventilatie en lift,B Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1068PM,-,-,-,1068,1068PM,52.36608,4.80987,375000,K.K.,3641,103
Oeverpad 418,https://www.funda.nl/koop/amsterdam/appartement-40333095-oeverpad-418/?navigateSource=resultlist,€ 390.000 k.k.,€ 3.645,7 weken,Verkocht onder voorbehoud,In overleg,€ 187 per maand,Galerijflat (appartement),Bestaande bouw,1998,Plat dak bedekt met bitumineuze dakbedekking,107 m²,18 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",1 woonlaag,3e woonlaag,Elektra en elektrische deur,B Wat betekent dit?,Geen isolatie,Cv-ketel,1068PM,-,-,Garagebox,1068,1068PM,52.36608,4.80987,390000,K.K.,3645,107
Eastonstraat 19,https://www.funda.nl/koop/amsterdam/appartement-41400782-eastonstraat-19/?navigateSource=resultlist,€ 250.000 k.k.,€ 3.086,2 weken,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1962,Plat dak bedekt met bitumineuze dakbedekking,81 m²,8 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,TV kabel en lift,G Wat betekent dit?,Geen isolatie,Blokverwarming,1068HZ,-,-,-,1068,1068HZ,52.35684000000001,4.81441,250000,K.K.,3086,81
Legmeerplein 15 1,https://www.funda.nl/koop/amsterdam/appartement-87857530-legmeerplein-15-1/?navigateSource=resultlist,€ 365.000 k.k.,€ 6.186,2 weken,Beschikbaar,In overleg,€ 137 per maand,Tussenverdieping (appartement),Bestaande bouw,1932,-,59 m²,3 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,1e woonlaag,Elektra,"E 2,28 Wat betekent dit?","Muurisolatie, vloerisolatie en dubbel glas",Cv-ketel,1058NJ,-,-,-,1058,1058NJ,52.35299000000001,4.85177,365000,K.K.,6186,59
Geuzenkade 37 1,https://www.funda.nl/koop/amsterdam/appartement-41492564-geuzenkade-37-1/?navigateSource=resultlist,€ 350.000 k.k.,€ 6.364,2 weken,Beschikbaar,In overleg,€ 100 per maand,Bovenwoning (appartement),Bestaande bouw,1933,-,55 m²,9 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,2e woonlaag,Mechanische ventilatie,E Wat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,1056KL,-,-,-,1056,1056KL,52.37336,4.86471,350000,K.K.,6364,55
Osdorper Ban 269,https://www.funda.nl/koop/amsterdam/appartement-41478400-osdorper-ban-269/?navigateSource=resultlist,€ 250.000 k.k.,€ 3.788,3 weken,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1960,Plat dak bedekt met bitumineuze dakbedekking,66 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,7e woonlaag,TV kabel en lift,B Wat betekent dit?,Dubbel glas,Stadsverwarming,1068LX,-,Toegankelijk voor ouderen,-,1068,1068LX,52.36047,4.791869999999999,250000,K.K.,3788,66
Jan van Galenstraat 80 III,https://www.funda.nl/koop/amsterdam/appartement-41464370-jan-van-galenstraat-80-iii/?navigateSource=resultlist,€ 275.000 k.k.,€ 5.392,3 weken,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1933,Plat dak bedekt met bitumineuze dakbedekking,51 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,4e woonlaag,Mechanische ventilatie en TV kabel,D Wat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,1056CD,-,-,-,1056,1056CD,52.37339,4.85241,275000,K.K.,5392,51
Tussendek 63,https://www.funda.nl/koop/amsterdam/appartement-41461243-tussendek-63/?navigateSource=resultlist,€ 275.000 k.k.,€ 3.090,3 weken,Beschikbaar,In overleg,€ 140 per maand,Bovenwoning (appartement),Bestaande bouw,1977,Plat dak,89 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,-,-,B Wat betekent dit?,-,Cv-ketel,1034TS,-,-,-,1034,1034TS,52.41373,4.91971,275000,K.K.,3090,89
Hofgeest 118,https://www.funda.nl/koop/amsterdam/appartement-87824074-hofgeest-118/?navigateSource=resultlist,€ 200.000 k.k.,€ 3.077,4 weken,Beschikbaar,In overleg,€ 220 per maand,Galerijflat (appartement),Bestaande bouw,1969,Plat dak bedekt met bitumineuze dakbedekking,65 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,8e woonlaag,Elektra,C Wat betekent dit?,-,Blokverwarming,1102EG,Energie Prestatie Advies,-,-,1102,1102EG,52.31184,4.95571,200000,K.K.,3077,65
Granidastraat 50 I,https://www.funda.nl/koop/amsterdam/appartement-41467850-granidastraat-50-i/?navigateSource=resultlist,€ 285.000 k.k.,€ 4.750,4 weken,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1941,Plat dak bedekt met bitumineuze dakbedekking,60 m²,9 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,1e woonlaag,Elektra,D Wat betekent dit?,Dubbel glas,Cv-ketel,1055HM,-,-,-,1055,1055HM,52.379870000000004,4.84836,285000,K.K.,4750,60
Cornelis van Vollenhovenstraat 34,https://www.funda.nl/koop/amsterdam/appartement-41459069-cornelis-van-vollenhovenstraat-34/?navigateSource=resultlist,€ 275.000 k.k.,€ 3.354,5 weken,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1958,-,82 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,-,D Wat betekent dit?,Gedeeltelijk dubbel glas,Blokverwarming,1063KS,-,-,-,1063,1063KS,52.38028,4.82029,275000,K.K.,3354,82
Ladogameerhof 258,https://www.funda.nl/koop/amsterdam/appartement-41458845-ladogameerhof-258/?navigateSource=resultlist,€ 295.000 k.k.,€ 3.207,5 weken,Beschikbaar,In overleg,€ 189 per maand,Galerijflat (appartement),Bestaande bouw,1998,Plat dak,92 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,5 woonlagen,3e woonlaag,"Mechanische ventilatie, TV kabel en lift",A Wat betekent dit?,Volledig geïsoleerd,Stadsverwarming,1060RG,-,-,-,1060,1060RG,52.35048,4.78252,295000,K.K.,3207,92
Trijn Hullemanlaan 102,https://www.funda.nl/koop/amsterdam/appartement-87811541-trijn-hullemanlaan-102/?navigateSource=resultlist,€ 295.000 k.k.,€ 3.598,5 weken,Beschikbaar,In overleg,€ 185 per maand,Maisonnette (appartement),Bestaande bouw,1990,Plat dak bedekt met bitumineuze dakbedekking,82 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,4 woonlagen,1e woonlaag,-,C Wat betekent dit?,-,Cv-ketel,1069PV,-,-,-,1069,1069PV,52.35212,4.78399,295000,K.K.,3598,82
Zuiderzeepark 14,https://www.funda.nl/koop/amsterdam/appartement-40341060-zuiderzeepark-14/?navigateSource=resultlist,€ 325.000 k.k.,€ 3.963,6 weken,Beschikbaar,In overleg,-,Bovenwoning,Bestaande bouw,1995,Plat dak bedekt met bitumineuze dakbedekking,82 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Elektra,C Wat betekent dit?,Geen isolatie,Cv-ketel,1024MG,-,Toegankelijk voor gehandicapten en toegankelijk voor ouderen,Parkeerkelder,1024,1024MG,52.3878,4.95691,325000,K.K.,3963,82
Jisperveldstraat 177,https://www.funda.nl/koop/amsterdam/appartement-40333441-jisperveldstraat-177/?navigateSource=resultlist,€ 350.000 k.k.,€ 3.465,7 weken,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1966,-,101 m²,6 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,10e woonlaag,"Mechanische ventilatie, TV kabel, buitenzonwering en lift",G Wat betekent dit?,Gedeeltelijk dubbel glas,Blokverwarming,1024AJ,-,-,-,1024,1024AJ,52.39866,4.95118,350000,K.K.,3465,101
Tussen Meer 224,https://www.funda.nl/koop/amsterdam/appartement-40272453-tussen-meer-224/?navigateSource=resultlist,€ 275.000 k.k.,€ 3.819,4 maanden,Beschikbaar,In overleg,€ 148 per maand,Galerijflat (appartement),Bestaande bouw,1967,Plat dak bedekt met bitumineuze dakbedekking,72 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,Lift en TV kabel,-,Dubbel glas,Blokverwarming,1069DW,-,-,-,1069,1069DW,52.35692,4.7941400000000005,275000,K.K.,3819,72
Tussen Meer 198,https://www.funda.nl/koop/amsterdam/appartement-86753895-tussen-meer-198/?navigateSource=resultlist,€ 279.500 k.k.,€ 3.583,2 maanden,Beschikbaar,Per direct beschikbaar,€ 180 per maand,Galerijflat (appartement),Bestaande bouw,1961,-,78 m²,6 m²,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,3e woonlaag,Elektra,"D 2,02 Wat betekent dit?",-,Blokverwarming,1069DW,-,-,-,1069,1069DW,52.35692,4.7941400000000005,279500,K.K.,3583,78
Scherpenzeelstraat 111,https://www.funda.nl/koop/amsterdam/appartement-41429663-scherpenzeelstraat-111/?navigateSource=resultlist,€ 225.000 k.k.,€ 2.961,12 oktober 2019,Beschikbaar,In overleg,-,Portiekflat (appartement),Bestaande bouw,1986,Plat dak bedekt met bitumineuze dakbedekking,76 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,2e woonlaag,Elektra,-,Dubbel glas,Cv-ketel,1107HS,-,-,-,1107,1107HS,52.29382,4.9786800000000015,225000,K.K.,2961,76
Jan van Schaffelaarplantsoen 5 B,https://www.funda.nl/koop/amsterdam/appartement-41414654-jan-van-schaffelaarplantsoen-5-b/?navigateSource=resultlist,€ 300.000 k.k.,€ 5.085,9 oktober 2019,Beschikbaar,In overleg,€ 125 per maand,Bovenwoning (appartement),Bestaande bouw,1952,Plat dak bedekt met bitumineuze dakbedekking,59 m²,2 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,2e woonlaag,-,Niet beschikbaar,Dubbel glas,Cv-ketel,1061DK,-,-,-,1061,1061DK,52.378809999999994,4.84256,300000,K.K.,5085,59
Kleiburg 9 b,https://www.funda.nl/koop/amsterdam/appartement-41410410-kleiburg-9-b/?navigateSource=resultlist,€ 298.009 k.k.,€ 2.922,5 oktober 2019,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,2014,Plat dak bedekt met bitumineuze dakbedekking,102 m²,10 m²,3 kamers (2 slaapkamers),1 badkamer,Ligbad en toilet,1 woonlaag,1e woonlaag,Mechanische ventilatie en TV kabel,"C 1,58 Wat betekent dit?",Dubbel glas,Stadsverwarming en gehele vloerverwarming,1104EA,-,-,-,1104,1104EA,52.319005,4.979117,298009,K.K.,2922,102
Kleiburg 844,https://www.funda.nl/koop/amsterdam/appartement-87875692-kleiburg-844/?navigateSource=resultlist,€ 295.000 k.k.,€ 3.010,5 oktober 2019,Beschikbaar,In overleg,€ 138 per maand,Galerijflat (appartement),Bestaande bouw,2014,Plat dak bedekt met bitumineuze dakbedekking,98 m²,8 m²,4 kamers (3 slaapkamers),1 apart toilet,-,1 woonlaag,8e woonlaag,"Mechanische ventilatie, TV kabel en lift",Niet beschikbaar,"Muurisolatie, vloerisolatie en dubbel glas",Stadsverwarming,1104EA,-,-,-,1104,1104EA,52.319005,4.979117,295000,K.K.,3010,98
Kleiburg 634,https://www.funda.nl/koop/amsterdam/appartement-40282977-kleiburg-634/?navigateSource=resultlist,€ 248.634 k.k.,€ 3.656,4 maanden,Verkocht onder voorbehoud,In overleg,-,Portiekflat (appartement),Bestaande bouw,2015,Plat dak bedekt met bitumineuze dakbedekking,68 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,6e woonlaag,Elektra,C Wat betekent dit?,Dubbel glas,Stadsverwarming,1104EA,-,-,-,1104,1104EA,52.319005,4.979117,248634,K.K.,3656,68
Kleiburg 722,https://www.funda.nl/koop/amsterdam/appartement-87899079-kleiburg-722/?navigateSource=resultlist,€ 280.000 k.k.,€ 2.857,Vandaag,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1970,Plat dak bedekt met bitumineuze dakbedekking,98 m²,6 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,7e woonlaag,Elektra en verwarming,Niet beschikbaar,Dubbel glas,Blokverwarming,1104EA,-,-,-,1104,1104EA,52.319005,4.979117,280000,K.K.,2857,98
Suze Groenewegplantsoen 21,https://www.funda.nl/koop/amsterdam/appartement-41418394-suze-groenewegplantsoen-21/?navigateSource=resultlist,€ 275.000 k.k.,€ 3.438,7 oktober 2019,Beschikbaar,In overleg,€ 74 per maand,Bovenwoning (appartement),Bestaande bouw,1993,Plat dak,80 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,1e woonlaag,-,-,-,Cv-ketel,1067DB,-,-,-,1067,1067DB,52.38368,4.80957,275000,K.K.,3438,80
Grootzeilhof 10,https://www.funda.nl/koop/amsterdam/appartement-41490526-grootzeilhof-10/?navigateSource=resultlist,€ 300.000 k.k.,€ 3.226,2 weken,Beschikbaar,In overleg,€ 102 per maand,Benedenwoning (appartement),Bestaande bouw,1977,Plat dak bedekt met bitumineuze dakbedekking,93 m²,14 m²,4 kamers (2 slaapkamers),-,-,4 woonlagen,Begane grond,Elektra,"C 1,51 Wat betekent dit?",Dubbel glas,Cv-ketel,1034LX,Energie Prestatie Advies,-,-,1034,1034LX,52.40922,4.9227099999999995,300000,K.K.,3226,93
Cornelis van Rijplantsoen 34,https://www.funda.nl/koop/amsterdam/appartement-41462421-cornelis-van-rijplantsoen-34/?navigateSource=resultlist,€ 300.000 k.k.,€ 3.846,3 weken,Beschikbaar,In overleg,€ 163 per maand,Bovenwoning (appartement),Bestaande bouw,1995,Plat dak bedekt met bitumineuze dakbedekking,78 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,7e woonlaag,"Mechanische ventilatie, TV kabel en lift",C Wat betekent dit?,Dakisolatie en dubbel glas,Cv-ketel,1063MC,-,Toegankelijk voor ouderen,Parkeerplaats,1063,1063MC,52.37868,4.82506,300000,K.K.,3846,78
Cornelis van Rijplantsoen 33,https://www.funda.nl/koop/amsterdam/appartement-41466919-cornelis-van-rijplantsoen-33/?navigateSource=resultlist,€ 340.000 k.k.,€ 3.736,4 weken,Beschikbaar,In overleg,€ 163 per maand,Bovenwoning (appartement),Bestaande bouw,1995,Plat dak bedekt met bitumineuze dakbedekking,91 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,7e woonlaag,"Mechanische ventilatie, TV kabel en lift",C Wat betekent dit?,Dakisolatie en dubbel glas,Cv-ketel,1063MC,-,Toegankelijk voor ouderen,Parkeerplaats,1063,1063MC,52.37868,4.82506,340000,K.K.,3736,91
Waalenburgsingel 264,https://www.funda.nl/koop/amsterdam/appartement-87824524-waalenburgsingel-264/?navigateSource=resultlist,€ 249.000 k.k.,€ 3.276,4 weken,Beschikbaar,In overleg,€ 83 per maand,Bovenwoning (appartement),Bestaande bouw,-,Zadeldak bedekt met pannen,76 m²,12 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,5 woonlagen,5e woonlaag,-,-,"Dubbel glas, vloerisolatie, muurisolatie en dakisolatie",Cv-ketel,1024EV,-,-,-,1024,1024EV,52.39375,4.96167,249000,K.K.,3276,76
Lamarckhof 10 H,https://www.funda.nl/koop/amsterdam/appartement-41457302-lamarckhof-10-h/?navigateSource=resultlist,€ 400.000 k.k.,€ 5.882,5 weken,Beschikbaar,In overleg,-,Benedenwoning (appartement),Bestaande bouw,1955,-,68 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,3 woonlagen,Begane grond,-,"F 2,53 Wat betekent dit?",Dubbel glas,Moederhaard,1098TK,-,-,-,1098,1098TK,52.35239,4.94375,400000,K.K.,5882,68
Chet Bakerstraat 85,https://www.funda.nl/koop/amsterdam/appartement-40278396-chet-bakerstraat-85/?navigateSource=resultlist,€ 395.000 k.k.,€ 4.247,4 maanden,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1999,Plat dak bedekt met bitumineuze dakbedekking,93 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,1e woonlaag,Elektra,-,Dubbel glas en volledig geïsoleerd,Cv-ketel,1066GJ,-,-,Parkeerplaats,1066,1066GJ,52.34451,4.82639,395000,K.K.,4247,93
Jan de Louterstraat 20,https://www.funda.nl/koop/amsterdam/appartement-40137896-jan-de-louterstraat-20/?navigateSource=resultlist,€ 350.000 k.k.,€ 3.211,5 maanden,Beschikbaar,In overleg,-,Tussenverdieping (appartement),Bestaande bouw,2005,Plat dak bedekt met bitumineuze dakbedekking,109 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,1 woonlaag,2e woonlaag,Elektra,Niet beschikbaar,"Muurisolatie, vloerisolatie, dubbel glas en volledig geïsoleerd",Cv-ketel,1063KX,-,-,-,1063,1063KX,52.379877,4.819346,350000,K.K.,3211,109
Jan de Louterstraat 22,https://www.funda.nl/koop/amsterdam/appartement-41454174-jan-de-louterstraat-22/?navigateSource=resultlist,€ 375.000 k.k.,€ 3.233,4 weken,Verkocht onder voorbehoud,In overleg,-,Tussenverdieping (appartement),Bestaande bouw,2005,Plat dak bedekt met bitumineuze dakbedekking,116 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"Jacuzzi, douche en toilet",1 woonlaag,-,Elektrische deur,A Wat betekent dit?,Dubbel glas,Cv-ketel,1063KX,-,-,Inpandig en parkeerplaats,1063,1063KX,52.379877,4.819346,375000,K.K.,3233,116
Kempenlaan 21,https://www.funda.nl/koop/amsterdam/appartement-41410887-kempenlaan-21/?navigateSource=resultlist,€ 375.000 k.k.,€ 4.076,5 oktober 2019,Beschikbaar,In overleg,-,Benedenwoning (appartement),Bestaande bouw,1994,-,92 m²,4 m²,4 kamers (3 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Begane grond,Mechanische ventilatie en TV kabel,B Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1066PX,-,-,-,1066,1066PX,52.3457,4.80841,375000,K.K.,4076,92
Wolbrantskerkweg 177 -B,https://www.funda.nl/koop/amsterdam/appartement-41409921-wolbrantskerkweg-177-b/?navigateSource=resultlist,€ 342.500 k.k.,€ 4.391,2 weken,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,2008,Plat dak bedekt met bitumineuze dakbedekking,78 m²,12 m²,3 kamers (2 slaapkamers),1 badkamer,Toilet,1 woonlaag,3e woonlaag,Mechanische ventilatie en lift,Niet beschikbaar,Dubbel glas en volledig geïsoleerd,Stadsverwarming,1069CL,-,-,Parkeerkelder en parkeerplaats,1069,1069CL,52.35652,4.79758,342500,K.K.,4391,78
Sikkelstraat 6 B,https://www.funda.nl/koop/amsterdam/appartement-41409569-sikkelstraat-6-b/?navigateSource=resultlist,€ 395.000 k.k.,€ 5.130,2 weken,Beschikbaar,In overleg,-,Bovenwoning (dubbel bovenhuis),Bestaande bouw,1925,Zadeldak bedekt met pannen,77 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,2 woonlagen,2e woonlaag,Elektra,"E 2,06 Wat betekent dit?",-,Cv-ketel,1097ZE,-,-,-,1097,1097ZE,52.34025,4.9489800000000015,395000,K.K.,5130,77
Amerbos 260,https://www.funda.nl/koop/amsterdam/appartement-87818918-amerbos-260/?navigateSource=resultlist,€ 259.000 k.k.,€ 3.083,4 weken,Beschikbaar,In overleg,€ 210 per maand,Bovenwoning (appartement),Bestaande bouw,1966,Plat dak bedekt met bitumineuze dakbedekking,84 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,8 woonlagen,8e woonlaag,-,-,-,Stadsverwarming,1025ZT,-,-,-,1025,1025ZT,52.40324,4.94297,259000,K.K.,3083,84
De Boelelaan 215,https://www.funda.nl/koop/amsterdam/appartement-86586941-de-boelelaan-215/?navigateSource=resultlist,€ 380.000 k.k.,€ 3.725,5 maanden,Beschikbaar,In overleg,€ 598 per maand,Bovenwoning (service flat),Bestaande bouw,-,Plat dak,102 m²,24 m²,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,5e woonlaag,"Verwarming, elektra en stromend water",-,Dubbel glas,Blokverwarming,1082RA,-,Toegankelijk voor ouderen,Garagebox,1082,1082RA,52.33486,4.87363,380000,K.K.,3725,102
De Egmondenstraat 176,https://www.funda.nl/koop/amsterdam/appartement-41477856-de-egmondenstraat-176/?navigateSource=resultlist,€ 250.000 k.k.,€ 3.846,3 weken,Beschikbaar,In overleg,-,Benedenwoning (appartement),Bestaande bouw,1966,Plat dak bedekt met bitumineuze dakbedekking,65 m²,27 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Begane grond,-,"D 1,63 Wat betekent dit?",-,Cv-ketel,1024SG,-,-,-,1024,1024SG,52.39442,4.94832,250000,K.K.,3846,65
Leksmondhof 80,https://www.funda.nl/koop/amsterdam/appartement-41463614-leksmondhof-80/?navigateSource=resultlist,€ 225.000 k.k.,€ 3.462,3 weken,Beschikbaar,In overleg,€ 171 per maand,Bovenwoning (appartement),Bestaande bouw,1979,-,65 m²,4 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,9e woonlaag,TV kabel en lift,-,Dubbel glas,Cv-ketel,1108EP,-,-,-,1108,1108EP,52.31046,4.98182,225000,K.K.,3462,65
Remmerdenplein 22,https://www.funda.nl/koop/amsterdam/appartement-87817178-remmerdenplein-22/?navigateSource=resultlist,€ 245.000 k.k.,€ 2.952,4 weken,Beschikbaar,In overleg,-,Maisonnette (appartement),Bestaande bouw,1983,Plat dak bedekt met bitumineuze dakbedekking,83 m²,6 m²,4 kamers (3 slaapkamers),1 apart toilet,-,2 woonlagen,2e woonlaag,Glasvezelkabel,-,-,Cv-ketel,1106AE,Energie Prestatie Advies,-,-,1106,1106AE,52.29781,4.97419,245000,K.K.,2952,83
Akersingel 80,https://www.funda.nl/koop/amsterdam/appartement-86448864-akersingel-80/?navigateSource=resultlist,€ 345.000 k.k.,€ 3.485,6+ maanden,Beschikbaar,In overleg,€ 194 per maand,Portiekflat (appartement),Bestaande bouw,1997,Plat dak bedekt met bitumineuze dakbedekking,99 m²,4 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,1e woonlaag,Elektra,-,Volledig geïsoleerd,Stadsverwarming,1060NK,-,-,-,1060,1060NK,52.35281,4.7767300000000015,345000,K.K.,3485,99
Jozef Israëlskade 82 -1,https://www.funda.nl/koop/amsterdam/appartement-41421628-jozef-israelskade-82-1/?navigateSource=resultlist,€ 400.000 k.k.,€ 7.273,11 oktober 2019,Beschikbaar,In overleg,€ 144 per maand,Bovenwoning,Bestaande bouw,-,-,55 m²,26 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,-,-,"E 2,05 Wat betekent dit?",-,-,1073RA,-,-,-,1073,1073RA,52.34849000000001,4.89844,400000,K.K.,7273,55
Ruimzicht 137,https://www.funda.nl/koop/amsterdam/appartement-41429011-ruimzicht-137/?navigateSource=resultlist,€ 325.000 k.k.,€ 3.652,11 oktober 2019,Beschikbaar,In overleg,€ 168 per maand,Bovenwoning (appartement),Bestaande bouw,1967,-,89 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,11e woonlaag,-,-,-,-,1068CS,-,-,-,1068,1068CS,52.36202,4.80846,325000,K.K.,3652,89
Sam van Houtenstraat 277 D,https://www.funda.nl/koop/amsterdam/appartement-41410171-sam-van-houtenstraat-277-d/?navigateSource=resultlist,€ 250.000 k.k.,€ 3.788,4 oktober 2019,Beschikbaar,In overleg,€ 101 per maand,Bovenwoning (appartement),Bestaande bouw,-,-,66 m²,6 m²,4 kamers (3 slaapkamers),-,-,1 woonlaag,4e woonlaag,TV kabel,"C 1,42 Wat betekent dit?",Volledig geïsoleerd,Stadsverwarming,1067JK,-,-,-,1067,1067JK,52.37924,4.80045,250000,K.K.,3788,66
Sam van Houtenstraat 275 D,https://www.funda.nl/koop/amsterdam/appartement-86785248-sam-van-houtenstraat-275-d/?navigateSource=resultlist,€ 260.000 k.k.,€ 3.939,2 maanden,Beschikbaar,In overleg,€ 101 per maand,Bovenwoning,Bestaande bouw,-,-,66 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,-,B Wat betekent dit?,-,Stadsverwarming,1067JK,-,-,-,1067,1067JK,52.37924,4.80045,260000,K.K.,3939,66
Marco Polostraat 262 III,https://www.funda.nl/koop/amsterdam/appartement-41490218-marco-polostraat-262-iii/?navigateSource=resultlist,€ 325.000 k.k.,€ 5.603,2 weken,Beschikbaar,In overleg,€ 76 per maand,Bovenwoning (appartement),Bestaande bouw,1926,-,58 m²,4 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,4e woonlaag,TV kabel,Niet beschikbaar,Dubbel glas,Cv-ketel,1056DR,-,-,-,1056,1056DR,52.37097,4.85534,325000,K.K.,5603,58
